Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.31,0.31,0.30893781924165153
100% Corpus,5,0.31,0.61,0.2798124536913208
100% Corpus,5,0.31,0.9099999999999999,0.2906806081366876
100% Corpus,5,0.31,symmetric,0.35717605478326
100% Corpus,5,0.61,0.01,0.3233106693275768
100% Corpus,5,0.61,0.31,0.2883847256168058
100% Corpus,5,0.61,0.61,0.2756670128694111
100% Corpus,5,0.61,0.9099999999999999,0.30838238904401216
100% Corpus,5,0.61,symmetric,0.33364818594070705
100% Corpus,5,0.9099999999999999,0.01,0.2579083882438044
100% Corpus,5,0.9099999999999999,0.31,0.3027466424853087
100% Corpus,5,0.9099999999999999,0.61,0.2847177560005316
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.31567652895182813
100% Corpus,5,0.9099999999999999,symmetric,0.3378407890848528
100% Corpus,5,symmetric,0.01,0.34236529766191803
100% Corpus,5,symmetric,0.31,0.30845726888729147
100% Corpus,5,symmetric,0.61,0.29795060150114977
100% Corpus,5,symmetric,0.9099999999999999,0.2870806342196441
100% Corpus,5,symmetric,symmetric,0.3430336820460645
100% Corpus,5,asymmetric,0.01,0.34968427313222367
100% Corpus,5,asymmetric,0.31,0.386552252017916
100% Corpus,5,asymmetric,0.61,0.3243843437091164
100% Corpus,5,asymmetric,0.9099999999999999,0.36470248641543396
100% Corpus,5,asymmetric,symmetric,0.4019564991976538
100% Corpus,6,0.01,0.01,0.34016859334696603
100% Corpus,6,0.01,0.31,0.35570752052000093
100% Corpus,6,0.01,0.61,0.34015604666574933
100% Corpus,6,0.01,0.9099999999999999,0.411673288643017
100% Corpus,6,0.01,symmetric,0.41265256679237167
100% Corpus,6,0.31,0.01,0.38137198692803276
100% Corpus,6,0.31,0.31,0.3639504340330539
100% Corpus,6,0.31,0.61,0.34740449328936696
100% Corpus,6,0.31,0.9099999999999999,0.3383339432251485
100% Corpus,6,0.31,symmetric,0.39895653935296477
100% Corpus,6,0.61,0.01,0.35660169150889454
100% Corpus,6,0.61,0.31,0.33884180082751664
100% Corpus,6,0.61,0.61,0.34158937055953054
100% Corpus,6,0.61,0.9099999999999999,0.34249077830750624
100% Corpus,6,0.61,symmetric,0.3326657283271574
100% Corpus,6,0.9099999999999999,0.01,0.32521147895317504
100% Corpus,6,0.9099999999999999,0.31,0.3323714205817514
100% Corpus,6,0.9099999999999999,0.61,0.3230713487622012
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.31814872326062554
100% Corpus,6,0.9099999999999999,symmetric,0.32382983246874053
100% Corpus,6,symmetric,0.01,0.36233353719162226
100% Corpus,6,symmetric,0.31,0.3650278782181582
100% Corpus,6,symmetric,0.61,0.3694706600848099
100% Corpus,6,symmetric,0.9099999999999999,0.3896338197504845
100% Corpus,6,symmetric,symmetric,0.413292616121459
100% Corpus,6,asymmetric,0.01,0.38102553094400665
100% Corpus,6,asymmetric,0.31,0.4087494862316743
100% Corpus,6,asymmetric,0.61,0.41646993687297446
100% Corpus,6,asymmetric,0.9099999999999999,0.3943168535498232
100% Corpus,6,asymmetric,symmetric,0.4069532011052064
100% Corpus,7,0.01,0.01,0.3382416393483962
100% Corpus,7,0.01,0.31,0.3601991918520115
100% Corpus,7,0.01,0.61,0.3343806019627625
100% Corpus,7,0.01,0.9099999999999999,0.35780709585296383
100% Corpus,7,0.01,symmetric,0.3887229016198603
100% Corpus,7,0.31,0.01,0.3797138602254778
100% Corpus,7,0.31,0.31,0.37422886824348955
100% Corpus,7,0.31,0.61,0.3616958090269968
100% Corpus,7,0.31,0.9099999999999999,0.37224103500866457
100% Corpus,7,0.31,symmetric,0.3966132659201493
100% Corpus,7,0.61,0.01,0.37753412865513625
100% Corpus,7,0.61,0.31,0.3631768127133984
100% Corpus,7,0.61,0.61,0.39695632411595294
100% Corpus,7,0.61,0.9099999999999999,0.3586378882789521
100% Corpus,7,0.61,symmetric,0.3577187708220765
100% Corpus,7,0.9099999999999999,0.01,0.3500495275060236
100% Corpus,7,0.9099999999999999,0.31,0.34080129937933085
100% Corpus,7,0.9099999999999999,0.61,0.32927627464547266
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.33314173753389287
100% Corpus,7,0.9099999999999999,symmetric,0.3320160343948994
100% Corpus,7,symmetric,0.01,0.36463425439425523
100% Corpus,7,symmetric,0.31,0.32540255396744533
100% Corpus,7,symmetric,0.61,0.34253398380880823
100% Corpus,7,symmetric,0.9099999999999999,0.3855083091303774
100% Corpus,7,symmetric,symmetric,0.38480306149415144
100% Corpus,7,asymmetric,0.01,0.3974086370596967
100% Corpus,7,asymmetric,0.31,0.42481420524533736
100% Corpus,7,asymmetric,0.61,0.4012108694252775
100% Corpus,7,asymmetric,0.9099999999999999,0.41993758601038295
100% Corpus,7,asymmetric,symmetric,0.4258447410406168
100% Corpus,8,0.01,0.01,0.37790934965636214
100% Corpus,8,0.01,0.31,0.3526940679421939
100% Corpus,8,0.01,0.61,0.3695849702844161
100% Corpus,8,0.01,0.9099999999999999,0.3646038447033797
100% Corpus,8,0.01,symmetric,0.4323610098820612
100% Corpus,8,0.31,0.01,0.4071918341557257
100% Corpus,8,0.31,0.31,0.37692360554123294
100% Corpus,8,0.31,0.61,0.37464364986308074
100% Corpus,8,0.31,0.9099999999999999,0.3726127053210122
100% Corpus,8,0.31,symmetric,0.41581750998084654
100% Corpus,8,0.61,0.01,0.3908325243309096
100% Corpus,8,0.61,0.31,0.38028854138711654
100% Corpus,8,0.61,0.61,0.3855439387968935
100% Corpus,8,0.61,0.9099999999999999,0.36992739848372974
100% Corpus,8,0.61,symmetric,0.3599369326057943
100% Corpus,8,0.9099999999999999,0.01,0.3713571621854274
100% Corpus,8,0.9099999999999999,0.31,0.31944721828833283
100% Corpus,8,0.9099999999999999,0.61,0.353559167292665
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.35126852768867717
100% Corpus,8,0.9099999999999999,symmetric,0.3320547370084683
100% Corpus,8,symmetric,0.01,0.37126314606995237
100% Corpus,8,symmetric,0.31,0.3498264864873101
100% Corpus,8,symmetric,0.61,0.3681012365836652
100% Corpus,8,symmetric,0.9099999999999999,0.37973088833399316
100% Corpus,8,symmetric,symmetric,0.3626409589413558
100% Corpus,8,asymmetric,0.01,0.36721779698953305
100% Corpus,8,asymmetric,0.31,0.4154630880544693
100% Corpus,8,asymmetric,0.61,0.42720952161065495
100% Corpus,8,asymmetric,0.9099999999999999,0.40627735114402214
100% Corpus,8,asymmetric,symmetric,0.40934737331509596
100% Corpus,9,0.01,0.01,0.41623929099239626
100% Corpus,9,0.01,0.31,0.4009574326183922
100% Corpus,9,0.01,0.61,0.33331580265353083
100% Corpus,9,0.01,0.9099999999999999,0.3839417681024627
100% Corpus,9,0.01,symmetric,0.41278122505806203
100% Corpus,9,0.31,0.01,0.4394744072072318
